word,label,sentence
a,A1,I have a dog.
about,A1,This book is about a dog.
above,A1,The cat is above the table.
across,A1,The cat walks across the table.
action,A1,I see the action.
activity,A1,I like the activity.
actor,A1,The actor is my friend.
actress,A1,She is an actress.
add,A1,I add two and three.
address,A1,My address is 10 Green Street.
adult,A1,My father is an adult.
advice,A1,I need your advice.
afraid,A1,I am afraid of the dog.
after,A1,I eat lunch after school.
afternoon,A1,I eat lunch in the afternoon.
again,A1,Please say that again.
age,A1,I am ten years of age.
ago,A1,I ate an apple two days ago.
agree,A1,I agree with my mother.
air,A1,The air is clean.
airport,A1,I go to the airport.
all,A1,All my family is here.
also,A1,I have a dog. I also have a cat.
always,A1,I always eat bread for breakfast.
amazing,A1,The food is amazing.
an,A1,I eat an apple.
and,A1,I have a mother and a father.
angry,A1,I am angry.
animal,A1,The animal is in the house.
another,A1,I want another apple.
answer,A1,I answer the question.
any,A1,I do not have any apples.
anybody,A1,Is anybody in the room?
anyone,A1,Is anyone in the room?
anything,A1,I do not have anything for breakfast.
anyway,A1,I do not like milk anyway.
anywhere,A1,I do not see my book anywhere.
apartment,A1,I live in an apartment.
app,A1,I have an app on my phone.
appear,A1,The cat appears in the kitchen.
appearance,A1,His appearance is nice.
apple,A1,I eat an apple.
apply,A1,I apply the cream on my hand.
april,A1,April is the fourth month.
architect,A1,The architect has a big house.
architecture,A1,The house has nice architecture.
area,A1,The kitchen is a small area.
argue,A1,I argue with my brother.
argument,A1,I have an argument with my brother.
arm,A1,I have one arm.
army,A1,The army has many soldiers.
around,A1,The cat is around the table.
arrange,A1,I arrange the books on the table.
arrangement,A1,I have an arrangement with my friend for lunch.
arrive,A1,I arrive at school.
art,A1,I like art.
artist,A1,The artist has a red apple.
as,A1,I am as tall as my brother.
ask,A1,I ask my mother for water.
asleep,A1,The baby is asleep.
assistant,A1,She is my assistant.
at,A1,I am at home.
athlete,A1,He is an athlete.
attack,A1,The dog does not attack the cat.
attend,A1,I attend school every day.
attention,A1,Please pay attention to the teacher.
attractive,A1,She is attractive.
audience,A1,The audience is big.
august,A1,August is my birthday month.
aunt,A1,My aunt has a red car.
author,A1,The author is my father.
autumn,A1,I like autumn.
available,A1,The water is available.
average,A1,The average number is five.
avoid,A1,I avoid the hot pan.
award,A1,I get an award for my good work.
away,A1,The cat is away.
awful,A1,The food is awful.
baby,A1,The baby has a small nose.
back,A1,I have a back.
background,A1,My family is in the background of the picture.
bad,A1,The food is bad.
bag,A1,I have a bag.
ball,A1,I have a red ball.
banana,A1,I eat a banana.
band,A1,I have a red band on my arm.
bank,A1,I put my money in the bank.
bath,A1,I take a bath.
bathroom,A1,I wash my hands in the bathroom.
be,A1,I be happy.
beach,A1,I go to the beach with my family.
beautiful,A1,The flower is beautiful.
because,A1,I am happy because I have a dog.
become,A1,I become happy when I see my mother.
bed,A1,I sleep in my bed.
bedroom,A1,I sleep in my bedroom.
beer,A1,I drink beer.
before,A1,I wash my hands before dinner.
begin,A1,The lesson begins at nine o'clock.
beginning,A1,The beginning of the day is morning.
behind,A1,The ball is behind the door.
believe,A1,I believe you.
below,A1,The cat is below the table.
best,A1,This is my best friend.
better,A1,I am better today.
between,A1,The apple is between the book and the cup.
bicycle,A1,I have a red bicycle.
big,A1,The dog is big.
bike,A1,I ride my bike.
bill,A1,The bill is on the table.
bird,A1,The bird is in the tree.
birthday,A1,My birthday is today.
black,A1,The cat is black.
blog,A1,I read a blog.
blonde,A1,She has blonde hair.
blue,A1,The sky is blue.
boat,A1,I see a boat.
body,A1,I have a body.
book,A1,I read a book.
boot,A1,I put my boot on my foot.
bored,A1,I am bored.
boring,A1,The book is boring.
born,A1,I was born in June.
both,A1,I have both arms.
bottle,A1,I have a bottle of water.
box,A1,I have a red box.
boy,A1,The boy has a red ball.
boyfriend,A1,My boyfriend is my friend.
bread,A1,I eat bread for breakfast.
break,A1,I break the bread.
breakfast,A1,I eat breakfast in the morning.
brilliant,A1,The sun is brilliant.
bring,A1,I bring my book to school.
broken,A1,My toy is broken.
brother,A1,I have a brother.
brown,A1,The dog is brown.
brush,A1,I brush my hair.
build,A1,I build a house with blocks.
building,A1,I see a big building.
burn,A1,The sun can burn my skin.
bus,A1,I take the bus to school.
business,A1,My father has a business.
businessman,A1,He is a businessman.
busy,A1,I am busy with my book.
but,A1,I like apples but I do not like oranges.
butter,A1,I eat butter on bread.
button,A1,I push the button.
buy,A1,I buy bread.
by,A1,I sit by my mother.
bye,A1,"Bye, Mum."
cafe,A1,I go to the cafe with my mother.
cake,A1,I eat a cake.
call,A1,I call my mother.
camera,A1,I have a camera.
camp,A1,I go to camp with my family.
camping,A1,I go camping with my family.
cannot,A1,I cannot swim.
capital,A1,London is the capital of England.
car,A1,I have a red car.
card,A1,I have a card.
care,A1,I care for my mother.
career,A1,She has a career as a nurse.
careful,A1,Be careful with the hot water.
carefully,A1,I eat my food carefully.
carpet,A1,The carpet is on the floor.
carrot,A1,I eat a carrot.
carry,A1,I carry my bag.
